Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Datum gestartet,Datum letzte Aktivität,Bitte geben Sie Ihr Geschlecht an.,Bitte geben Sie Ihr Alter in Jahren an.,Bitte geben Sie Ihre Gruppenzugehörigkeit an.,Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich beschäftige mich gern genauer mit technischen Systemen.],Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich probiere gern die Funktionen neuer technischer Systeme aus.],"Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.]",Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.],"Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche zu verstehen, wie ein technisches System genau funktioniert.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.]",Mir ist der Schutz meiner persönlichen Daten im digitalen Raum ein wichtiges Anliegen. ,Inwiefern stimmen Sie den folgenden Aussagen zu. [Ich fand die Menge an Informationen überfordernd.],Inwiefern stimmen Sie den folgenden Aussagen zu. [Ich fand die angezeigten Informationen verständlich.],Inwiefern stimmen Sie den folgenden Aussagen zu. [Die Wiederholung der informierten Zustimmung hat mich gestört.],Inwiefern stimmen Sie den folgenden Aussagen zu. [Die Wiederholung der informierten Zustimmung empfand ich als zu lang.],Inwiefern stimmen Sie den folgenden Aussagen zu. [Das Erledigen der Aufgabe hat meine Konzentration beansprucht.],Haben unterschiedliche Betreiber (Verifizierer) Daten abgefragt?,"Wenn ja, welche Betreiber (Verifizierer) haben Informationen abgefragt?",Frage zum Wochenplan,"Haben Sie bei bestimmten Transaktionen Datenfelder bemerkt, deren Abfrage Sie überrascht oder deren Abfrage Sie nicht erwartet haben?"," Wenn ja, bei welchen Transaktionen hat sie die Abfrage von Datenfeldern überrascht und warum?",Inwiefern stimmen Sie den folgenden Aussagen zu. [Ich fand die Menge an Informationen überfordernd.].1,Inwiefern stimmen Sie den folgenden Aussagen zu. [Ich fand die angezeigten Informationen verständlich.].1,Inwiefern stimmen Sie den folgenden Aussagen zu. [Die Wiederholung der informierten Zustimmung hat mich gestört.].1,Inwiefern stimmen Sie den folgenden Aussagen zu. [Die Wiederholung der informierten Zustimmung empfand ich als zu lang.].1,Inwiefern stimmen Sie den folgenden Aussagen zu. [Das Erledigen der Aufgabe hat meine Konzentration beansprucht.].1,Haben unterschiedliche Betreiber (Verifizierer) Daten abgefragt?.1,"Wenn ja, welche Betreiber (Verifizierer) haben Informationen abgefragt?.1",Frage zum Wochenplan.1,"Haben Sie bei bestimmten Transaktionen Datenfelder bemerkt, deren Abfrage Sie überrascht oder deren Abfrage Sie nicht erwartet haben?.1"," Wenn ja, bei welchen Transaktionen hat sie die Abfrage von Datenfeldern überrascht und warum?.1","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.]",Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich empfinde das System als unnötig komplex.],Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich empfinde das System als einfach zu nutzen.],"Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich brauche Hilfe, um das System zu verstehen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.]",Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.],Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich empfinde die Bedienung als sehr umständlich.],Welches der beiden Systeme würden Sie bevorzugen? ,Wie bewerten Sie den Pre-Consent-Mechanismus in Bezug auf seine Funktionalität und Benutzerfreundlichkeit?,Inwieweit würden sie dem gezeigten Pre-Consent Mechanismus vertrauen?,Haben Sie Verbesserungsvorschläge?,Haben Sie Bedenken hinsichtlich der Nutzung des Pre-Consent Mechanismus?,"Gibt es etwas, das Sie uns gerne noch mitteilen möchten?(z.B. Anregungen, Ideen, Kritik oder Feedback)"
10,2024-11-27 13:54:16,8,de,1367034576,2024-11-27 13:42:04,2024-11-27 13:54:16,Männlich,24,Studierende,Stimmt völlig,Stimmt völlig,Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend,Stimmt gar nicht,Stimmt völlig,Stimmt weitgehend nicht,Stimmt völlig,Stimmer eher zu,Stimmt eher,Stimmt völlig,Stimmt weitgehend,Stimmt völlig,Stimmt eher,Ja,"LMU, Seat iwas",Freitag 3,Ja,"freitag 3 war über 18, doppelte nachfrage ",Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt gar nicht,Stimmt gar nicht,Stimmt eher nicht,Ja,"LMU, Seat...",Donnerstag 1,Weiß Nicht,,Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft eher nicht zu,Trifft eher zu,Trifft vollständig zu,Trifft vollständig zu,Trifft gar nicht zu,App mit Pre-Consent,Sehr gut,Eher Vertrauen,"beim preconsent klarer darstellen für welche entität er gilt, 
beim anzeigen von datenübertragung mit preconsent nochtmals auflisten welche daten übertragen wurden.
daten direkt zeigen: kein Name, Vorname sondern den namen ausschreiben. zb Simon Lund, Student..",wenn mir nochmal gezeigt wird weelche daten übertragen wurden find ichs fair ,history und erstmalige nutzung von consent usw. 
11,2024-11-27 15:44:19,8,de,764710841,2024-11-27 15:20:20,2024-11-27 15:44:19,Männlich,40,Mitarbeiter,Stimmt weitgehend,Stimmt weitgehend,Stimmt eher nicht,Stimmt weitgehend,Stimmt eher,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend,Stimme voll zu,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt völlig,Stimmt völlig,Stimmt weitgehend,Ja,"LMU Seite (Betriebsarzt, IT-Servicedesk, ...)
Rabattierung (Studentenwerk, Oper, Messe, ...)
ÖPNV (Fahrscheinkontrolle)",Freitag 3,Ja,Freitag 3; Daten über die Gruppenzugehörigkeit hinaus. z.B. Lichtbild,Stimmt eher,Stimmt weitgehend,Stimmt völlig,Stimmt weitgehend,Stimmt weitgehend,Ja,"LMU Intern (Pforte, ...)
Rabattierung (Studierendenwerk, Ausstellung)
ÖPNV (Fahrscheinkontrolle)","Personalabteilung 1
Konzert 3",Ja,"Rabattierung (Daten über die Gruppenzugehörigkeit hinaus, z.B. Lichtbild)",Trifft vollständig zu,Trifft eher nicht zu,Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft eher zu,Trifft vollständig zu,Trifft gar nicht zu,App mit Pre-Consent,Gut,Eher Vertrauen,"Bei größeren Schlangen oder anderen stressigen Situationen (z.B. Mensa) wäre es gut, wenn man an einem separat stehenden Terminal einmal in Ruhe die Abgefragten Felder durchgehen kann. Anschließesn greift der Pre-Consent","Eine einmalig unbedachte Zustimmung wirkt sich langfristig aus. Initiale zustimmung sollte nicht gehetzt erfolgen.
Ansonsten nein.",
12,2024-11-27 19:34:27,8,de,1951665246,2024-11-27 19:16:13,2024-11-27 19:34:27,Weiblich,25,Studierende,Stimmt eher nicht,Stimmt eher,Stimmt eher nicht,Stimmt eher nicht,Stimmt weitgehend nicht,Stimmt eher,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt eher nicht,Stimmer eher zu,Stimmt weitgehend nicht,Stimmt völlig,Stimmt eher nicht,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Ja,"LMU, Studierendenwerk, MVG, SeatLover GmBH (oder so)",Donnerstag 3,Ja,Donnerstag 3 - Warum will ein Club meine Mail?,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Ja,"MVG, LMU, SeatLovers (oder so), Studierendenwerk","Donnerstag 2, 3
Freitag 3",Ja,Konzert - Wozu meine Mail,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft vollständig zu,Trifft eher zu,Trifft gar nicht zu,App mit Pre-Consent,Gut,Eher Vertrauen,,"Wenn man den Pre-Consent updatet, weil an verschiedenen Stellen der gleiche Betreiber verwendet wird, man aber nicht alle Infos automatisch immer mit allen Stellen des Betreibers teilen will und sich dessen nicht bewusst ist, dass es passieren kann.",
13,2024-11-27 22:00:03,8,de,1918662232,2024-11-27 21:29:37,2024-11-27 22:00:03,Männlich,27,Studierende,Stimmt völlig,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt völlig,Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend,Stimme voll zu,Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt eher,Stimmt gar nicht,Ja,"LMU Reader
MVG
Save Seat GmbH","Freitag 3 war anders als Montag 3
1 war jeweils unterschiedlich zwischen Mo, Mi, und vllt. Do",Ja,"Club ->  E-Mail
MVG -> Gender",Stimmt gar nicht,Stimmt völlig,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Ja,"LMU Reader
MVG
Save Seat GmbH",Do 1 wollte mehr als Mo 1 (PUID),Ja,"Entweder Ausstellung, Messe oder Oper wollte meine Mailadresse",Trifft eher zu,Trifft eher nicht zu,Trifft vollständig zu,Trifft gar nicht zu,Trifft eher zu,Trifft vollständig zu,Trifft vollständig zu,Trifft gar nicht zu,App mit Pre-Consent,Gut,Voll Vertrauen,"Die Sprache sollte auf deutsch umstellbar sein.
Wenn Expiry Date (oder alle Felder) könnten auch im Prozess den aktuellen Wert anzeigen, um mich zu erinnern.
Pre-consents sollten auch Feld-weise und nicht nur Verifizierer-weise löschbar sein.
Auch bei eingestelltem pre-consent können zusammen mit dem grünen Haken die übertragenen Felder kurz angezeigt werden.","Ich finde, der pre-consent sollte unabhängig von der Nutzung eine lifetime von ca. 60 Tagen haben. Alle 60 Tage muss ich also ihn erneut erteilen.","Der Zweck (ID, Studistatus, Alter, etc.) sollte mit dastehen. (In echt habe ich ja keinen Wochenplan, wo es steht.)"
14,2024-11-28 12:45:05,8,de,1029479343,2024-11-28 12:30:26,2024-11-28 12:45:05,Männlich,22,Studierende,Stimmt weitgehend,Stimmt eher nicht,Stimmt gar nicht,Stimmt völlig,Stimmt weitgehend,Stimmt eher nicht,Stimmt weitgehend,Stimmt eher nicht,Stimmt eher,Stimme voll zu,Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Stimmt eher,Ja,"Universtät, Studentenwerk, Konzertbetreiber, Clubbetreiber, Fahrscheinkontrolle",Ich habe jedes mal einzeln bewertet ob die abgefragten Daten in der Situation sinnvoll und notwenig sind,Ja,Externer Anbieter hat Email abgefragt,Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Stimmt weitgehend,Ja,Die gleichen in der anderen App-Variante,"Mittwoch, Pforte",Ja,"Emailabfrage bei einem externen Anbieter, die aus meiner Sicht für sen Fall nicht erforderlich war",Trifft eher zu,Trifft gar nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher zu,Trifft gar nicht zu,App mit Pre-Consent,Gut,Eher Vertrauen,"Aufklärung über die Tatsache, dass bei neuen Datenattributen erneut eine pre consent abfrage für diesen Datentyp abgefragt wird; Möglichkeit zum widerruf des pre consents","als nutzer könnte man auf dauer vergessen, welche Daten dort gerade geteilt werden",
15,2024-11-28 13:27:32,8,de,1164350266,2024-11-28 13:13:08,2024-11-28 13:27:32,Divers,24,Studierende,Stimmt eher,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt weitgehend,Stimmt eher,Stimmt eher,Stimmt weitgehend,Stimmt weitgehend,Stimmer eher nicht zu,Stimmt eher nicht,Stimmt weitgehend,Stimmt weitgehend,Stimmt weitgehend,Stimmt weitgehend nicht,Ja,"Uni, Fahrscheinkontrolle, Museum, Konzert, Messe, Ausstellung","Ja, aber ich habe darauf nicht geachtet",Nein,,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt eher nicht,Stimmt eher nicht,Stimmt eher,Ja,"Uni, Fahrscheinkontrolle, Kino, Club, Museum",Praktikum: ID; Konzert: Email; Staatsoper: Alter und Bild,Nein,,Trifft vollständig zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Teils / Teils,Trifft eher zu,Trifft eher nicht zu,App mit Pre-Consent,Gut,Voll Vertrauen,Nein,Nein,"Handy zu groß, bisschen umständlich mit dem exakten Hinhalten des Handys zum Lesegerät"
16,2024-11-28 14:52:03,8,de,1273293499,2024-11-28 14:30:30,2024-11-28 14:52:03,Männlich,51,Mitarbeiter,Stimmt weitgehend,Stimmt eher,Stimmt eher nicht,Stimmt eher nicht,Stimmt weitgehend nicht,Stimmt eher nicht,Stimmt eher nicht,Stimmt eher,Stimmt eher nicht,Stimmer eher zu,Stimmt weitgehend nicht,Stimmt völlig,Stimmt eher nicht,Stimmt eher nicht,Stimmt gar nicht,Ja,"mvg,lmu,studentenwerk,eventagentur","do, eisstockschiess
di, alternachweis",Ja,e-mail bei Veranstaltungen,Stimmt eher nicht,Stimmt weitgehend,Stimmt eher,Stimmt eher,Stimmt gar nicht,Ja,"mvg,studentewek, lmu intern, event-Veranstalter","Do, Fortbildung; ansonsten Angaben wie bei 1",Ja,"popup nach Freigabe, obwohl Freigabe keine automatische Übertragung bei dem Anbieter mit der Freigabe ",Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft gar nicht zu,Trifft eher zu,Trifft vollständig zu,Trifft eher zu,Trifft gar nicht zu,App ohne Pre-Consent,Gut,Eher Vertrauen, Anzeige einmalig oder möglichkeit zum abstellen,eigentlich nicht,Anzeige der Übermittelten Daten ohne Precontent  sehr klar
17,2024-11-28 19:12:00,8,de,1434107034,2024-11-28 18:54:02,2024-11-28 19:12:00,Männlich,23,Studierende,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt völlig,Stimmt eher nicht,Stimmt eher nicht,Stimmt weitgehend,Stimmt eher,Stimmt völlig,Stimmt gar nicht,Stimme voll zu,Stimmt eher nicht,Stimmt völlig,Stimmt völlig,Stimmt weitgehend,Stimmt eher,Ja,"MVG 
what ever for mensa
one for university",every station was similar and no data changes were observed per station.,Ja,"gender, wherever they asked",Stimmt gar nicht,Stimmt völlig,Stimmt gar nicht,Stimmt eher nicht,Stimmt gar nicht,Ja,"mvg
stuwerk (use this for app1 as answer as well)
smth for uni","yes
thursday 2, 3; friday 3",Ja,gender,Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft vollständig zu,Teils / Teils,Trifft gar nicht zu,App mit Pre-Consent,Sehr gut,Eher Vertrauen,explanations of changed fields more prominent in the future hopefully ,easy to pass over pre-consent fields if you have already done so before on the same stations,study could have been improved if app recognition did not require complete phone contact
18,2024-11-29 11:07:55,8,de,1342907683,2024-11-29 10:55:31,2024-11-29 11:07:55,Männlich,24,Studierende,Stimmt völlig,Stimmt weitgehend,Stimmt eher nicht,Stimmt völlig,Stimmt weitgehend,Stimmt gar nicht,Stimmt völlig,Stimmt gar nicht,Stimmt weitgehend,Stimme voll zu,Stimmt gar nicht,Stimmt völlig,Stimmt weitgehend nicht,Stimmt gar nicht,Stimmt gar nicht,Ja,"mensa, stubistro, stucafe, lmu-servicedesk, seminar m. anwesenheitspflicht, mvg kontrolle, klausur, club, oper","staatsoper -> genaues geburtsdatum, club -> email",Ja,"club - email, oper - genaues geburtsdatum",Stimmt gar nicht,Stimmt weitgehend,Stimmt weitgehend nicht,Stimmt weitgehend nicht,Stimmt gar nicht,Ja,"mensa, stucafe, stubistro, konzert, it servicedesk, praktikum, pforte, klausur, mvg",analog app 1,Ja,"analog app 1, konzert, staatsoper",Trifft vollständig zu,Trifft gar nicht zu,Trifft vollständig zu,Trifft eher nicht zu,Trifft vollständig zu,Trifft vollständig zu,Trifft vollständig zu,Trifft gar nicht zu,App mit Pre-Consent,Sehr gut,Voll Vertrauen,Eine kleine Erklärung zur genauen Funktionalität wäre gut.,,Kann man die Pre-Consent Funktion auch wieder deaktivieren?
19,2024-11-29 15:32:19,8,de,1977105313,2024-11-29 15:19:07,2024-11-29 15:32:19,Männlich,19,Studierende,Stimmt weitgehend,Stimmt völlig,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmt eher,Stimmt weitgehend nicht,Stimmt eher,Stimmt weitgehend nicht,Stimmt weitgehend,Stimmer eher zu,Stimmt gar nicht,Stimmt völlig,Stimmt eher,Stimmt eher,Stimmt eher nicht,Ja,"mvg, safe seat gmbh, stdentenwerk, lmu","seminar,club, staatsoper",Ja,"abfrage der Email durch club, Abfrage Alter bei Besuch der Staatsoper ",Stimmt gar nicht,Stimmt völlig,Stimmt eher nicht,Stimmt eher nicht,Stimmt eher nicht,Ja,"mvg, safe seat gmbh, studentenwerk, lmu","konzert (zugehörigkeit) zu staatsoper (Alter,Mail, etc.) (3), praktikum (nur Matrikelnummer) zu Studentenkanzlei (name, bild, matrikelnummer) (1)",Ja,Wieder das Alter bei der Staatsoper,Teils / Teils,Trifft eher nicht zu,Trifft eher zu,Trifft gar nicht zu,Trifft eher zu,Trifft vollständig zu,Trifft vollständig zu,Trifft gar nicht zu,App mit Pre-Consent,Gut,Eher Vertrauen,,"Eventuell eine zu grobe Einteilung der Gerätegruppen, wenn anschließend bestimmte, eigentlich nicht nötige Daten trotzdem weitergegeben werden durhc den Pre-consent",
