Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732967958352,1732967963293,4941,False,False
2,1,Studierendenwerk Reader,1732967976054,1732967989400,13346,False,False
3,1,SaveSeat GmbH Reader,1732968004734,1732968009054,4320,False,False
4,2,Studierendenwerk Reader,1732968034339,1732968037168,2829,False,False
5,2,SaveSeat GmbH Reader,1732968047020,1732968048818,1798,False,False
6,2,MVG Reader,1732968069586,1732968076536,6950,False,False
7,3,Studierendenwerk Reader,1732968158293,1732968160338,2045,False,False
8,3,LMU Reader,1732968184594,1732968187847,3253,False,False
9,3,Studierendenwerk Reader,1732968196970,1732968200202,3232,False,False
10,4,MVG Reader,1732968220348,1732968224368,4020,False,False
11,4,LMU Reader,1732968248174,1732968279881,31707,False,False
12,4,SaveSeat GmbH Reader,1732968320292,1732968348320,28028,False,False
13,5,Studierendenwerk Reader,1732968401176,1732968402742,1566,False,False
14,5,LMU Reader,1732968410170,1732968413048,2878,False,False
15,5,SaveSeat GmbH Reader,1732968424586,1732968466821,42235,False,False
16,1,Studierendenwerk Reader,1732968593129,1732968604570,11441,True,False
17,1,LMU Reader,1732968620032,1732968634679,14647,True,False
18,1,SaveSeat GmbH Reader,1732968648500,1732968665245,16745,True,False
19,2,MVG Reader,1732968708196,1732968710486,2290,True,False
20,2,Studierendenwerk Reader,1732968727112,1732968727115,3,True,True
21,2,SaveSeat GmbH Reader,1732968758807,1732968758810,3,True,True
22,3,LMU Reader,1732968805044,1732968823851,18807,True,False
23,3,Studierendenwerk Reader,1732968843939,1732968843941,2,True,True
24,3,MVG Reader,1732968854120,1732968858939,4819,True,False
25,4,Studierendenwerk Reader,1732968885699,1732968885701,2,True,True
26,4,LMU Reader,1732968904335,1732968909339,5004,True,False
27,4,SaveSeat GmbH Reader,1732968928202,1732969020409,92207,True,False
28,5,LMU Reader,1732969041845,1732969089515,47670,True,False
29,5,Studierendenwerk Reader,1732969105786,1732969105788,2,True,True
30,5,SaveSeat GmbH Reader,1732969113887,1732969133653,19766,True,False
